Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
520 - Abatia,"0,0003333584182","0,0008898628089","0,001326514492","0,001860182968","0,001140465414",0,"0,002506265664"
111 - Adrianopolis,"0,0003624774843","0,001425990627","0,002817537671","0,001634015576","0,006716463237","0,009913961591","0,002506265664"
121 - Agudos do Sul,"0,0002100988872","0,00126502586","0,003556521137","0,003148811131","0,0009598020839",0,"0,002506265664"
102 - Almirante Tamandare,"0,002864942317","0,0007103622667","0,002814926422","0,003413549706","0,0009704587688","0,01047095453","0,002506265664"
428 - Altamira do Parana,"0,0002012721259","0,0008311196393","0,001417255395","0,00148499055","0,001943619232","0,0009835638679","0,002506265664"
853 - Alto Paraiso,"0,0004245002811","0,001898511666","0,0009361327663","0,0007679171912","0,005228830045","0,01504019659","0,002506265664"
722 - Alto Parana,"0,0007958610853","0,002384364678","0,001594167514","0,002047779176","0,002040179805","0,0001700285868","0,002506265664"
819 - Alto Piquiri,"0,0008892353897","0,001988004608","0,001177020487","0,0019110268","0,002243707478","0,0000390293127","0,002506265664"
836 - Altonia,"0,0008800337012","0,002323425099","0,003539548019","0,006332686974","0,003643835778","0,01145511924","0,002506265664"
613 - Alvorada do Sul,"0,0008772666642","0,001701839434","0,001922532076","0,001225511682","0,002138441444","0,0008833228433","0,002506265664"
731 - Amapora,"0,0003995988096","0,001103368828","0,0007265800341","0,0005943468671","0,001921255203","0,0002977045632","0,002506265664"
331 - Ampere,"0,001352367158","0,002660382503","0,002644542424","0,003061149351","0,001491685734","0,001024473316","0,002506265664"
448 - Anahy,"0,0002674285587","0,001383366602","0,0005000541834","0,0008433063218","0,0005257297903","0,00006874832063","0,002506265664"
516 - Andira,"0,002311525227","0,001314785674","0,0008218906226","0,001442912896","0,001169283492",0,"0,002506265664"
654 - Angulo,"0,0003892111369","0,001305176858","0,0003956042234","0,0005925936316","0,0005285315478",0,"0,002506265664"
116 - Antonina,"0,0007739708549","0,0002446755543","0,001846153043","0,001286874928","0,004382949424","0,01715654875","0,002506265664"
128 - Antonio Olinto,"0,0004431558976","0,002262055149","0,004350340833","0,004779320235","0,002334664535","0,0004601474378","0,002506265664"
636 - Apucarana,"0,006900964029","0,003493153304","0,004452832357","0,003914975087","0,002786948253","0,009036382869","0,002506265664"
628 - Arapongas,"0,01041239344","0,003727391254","0,001500815363","0,002538685143","0,001913950621","0,01654914457","0,002506265664"
206 - Arapoti,"0,003381274195","0,00675327531","0,002661515543","0,002803423718","0,00682638219","0,002954936097","0,002506265664"
661 - Arapua,"0,0002954710485","0,001327770433","0,001453812881","0,001635768811","0,001089133213",0,"0,002506265664"
802 - Araruna,"0,001724462013","0,003297625364","0,001921879264","0,003019071697","0,002471600435",0,"0,002506265664"
107 - Araucaria,"0,08730800067","0,003561005158","0,005821779645","0,005973273677","0,002351625174","0,005420020556","0,002506265664"
660 - Ariranha do Ivai,"0,0002003619109","0,001292171416","0,001011206175","0,001302654048","0,001203404896",0,"0,002506265664"
607 - Assai,"0,001098301985","0,001804515414","0,001806331495","0,002496607489","0,002210336544","0,001293813363","0,002506265664"
413 - Assis Chateaubriand,"0,00430611866","0,009700369578","0,002619082747","0,01000396231","0,004834582734","0,0002098938951","0,002506265664"
630 - Astorga,"0,001884958837","0,003928618752","0,001396365403","0,002621087216","0,002182218906","0,006776559001","0,002506265664"
715 - Atalaia,"0,0003127908308","0,0009176227755","0,0003694917334","0,001002850761","0,0006866307235",0,"0,002506265664"
133 - Balsa Nova,"0,002861447325","0,001152246004","0,002891958267","0,002934916388","0,001743543725","0,00434095304","0,002506265664"
518 - Bandeirantes,"0,001238298309","0,002089831703","0,00248068655","0,002915630797","0,002231749977",0,"0,002506265664"
807 - Barbosa Ferraz,"0,0004829566573","0,001552891671","0,002007397668","0,00305764288","0,002675028045","0,009601307946","0,002506265664"
514 - Barra do Jacare,"0,0003115956872","0,001418939975","0,0005718635309","0,001178174321","0,0005775623048","0,001258485725","0,002506265664"
326 - Barracão,"0,0008474675087","0,001294526265","0,001780219005","0,002177518611","0,0008250675649",0,"0,002506265664"
347 - Bela Vista do Caroba,"0,0001266052493","0,0009059274173","0,001895766774","0,001716417649","0,0007412149642",0,"0,002506265664"
612 - Bela Vista do Paraiso,"0,0008556440264","0,001315796855","0,0005764332167","0,001178174321","0,001228720777",0,"0,002506265664"
306 - Bituruna,"0,001323193657","0,002677676494","0,003904470067","0,003525756784","0,006163266217","0,0000074900736","0,002506265664"
814 - Boa Esperanca,"0,0007720439619","0,001877270334","0,001258622018","0,001700638528","0,001558227476",0,"0,002506265664"
339 - Boa Esperanca do Iguacu,"0,0003478152812","0,001136269908","0,001182242985","0,0009765522271","0,000755373846",0,"0,002506265664"
468 - Boa Ventura de Sao Roque,"0,0008127445362","0,001771028553","0,003270589372","0,003154070838","0,003104947734","0,00444582875","0,002506265664"
431 - Boa Vista da Aparecida,"0,0005648551052","0,001375446284","0,001965617684","0,002813943132","0,001326782291",0,"0,002506265664"
112 - Bocaiuva do Sul,"0,0003320656264","0,001189405742","0,003824826972","0,003545042376","0,004063248876","0,001798792213","0,002506265664"
348 - Bom Jesus do Sul,"0,00009466773448","0,00113818911","0,001869001471","0,001849663554","0,0008852553207","0,0006763184202","0,002506265664"
644 - Bom Sucesso,"0,0003921036416","0,001640590107","0,0008042646919","0,0009555134","0,001608458986","0,002274810443","0,002506265664"
340 - Bom Sucesso do Sul,"0,0007039171447","0,001926018625","0,001117614572","0,001376289943","0,0009834168974","0,0001523724978","0,002506265664"
641 - Borrazopolis,"0,0005322931506","0,001340377491","0,001350668545","0,002289725689","0,001693562372",0,"0,002506265664"
432 - Braganey,"0,0005946125034","0,002362688361","0,001513218795","0,001944338276","0,001713124643",0,"0,002506265664"
847 - Brasilandia do Sul,"0,0007267222122","0,001509542064","0,0006717438051","0,000482139789","0,001458064644",0,"0,002506265664"
621 - Cafeara,"0,0002157655214","0,0008075140499","0,000326406125","0,0004540880194","0,0009250803029",0,"0,002506265664"
433 - Cafelandia,"0,003368936147","0,006074664097","0,001510607546","0,001704145","0,001360053161",0,"0,002506265664"
848 - Cafezal do Sul,"0,0002493090209","0,00109499643","0,0006299638212","0,001050188122","0,001658240214","0,0009318447502","0,002506265664"
637 - California,"0,0004334784584","0,001372434828","0,001332389802","0,00142538054","0,0007083443444",0,"0,002506265664"
515 - Cambara,"0,00188560959","0,002523202356","0,0009929274321","0,002480828369","0,001858565878",0,"0,002506265664"
611 - Cambe,"0,008607321831","0,003377984197","0,002468283117","0,002121415072","0,002482807465","0,02525629401","0,002506265664"
642 - Cambira,"0,000658680122","0,001235979781","0,001149602372","0,001467458194","0,0008172126375","0,002686690537","0,002506265664"
811 - Campina da Lagoa,"0,001308910271","0,003653886189","0,001852028353","0,003280303801","0,003997957919","0,0003160069171","0,002506265664"
469 - Campina do Simao,"0,0002408516028","0,00114571791","0,001754759328","0,001171161378","0,002252663096","0,008754816289","0,002506265664"
113 - Campina Grande do Sul,"0,001680984982","0,0003042674862","0,004444345797","0,002414205416","0,002719105695","0,013528483","0,002506265664"
441 - Campo Bonito,"0,0004411238155","0,002814933135","0,001192687981","0,001094019012","0,002140792919","0,001679072489","0,002506265664"
125 - Campo do Tenente,"0,0004460673117","0,001591492724","0,001913392704","0,001127330488","0,001524106072",0,"0,002506265664"
108 - Campo Largo,"0,008089964743","0,002456527954","0,01188509982","0,00889416418","0,006205442674","0,0185099093","0,002506265664"
140 - Campo Magro,"0,0004926892673","0,0007420810503","0,003457293675","0,00154460056","0,001373711729","0,03717047999","0,002506265664"
801 - Campo Mourao,"0,006335769778","0,004363183602","0,002949405745","0,003746664469","0,003778970548","0,001797352981","0,002506265664"
211 - Candido de Abreu,"0,0008043687793","0,002843082421","0,00777042421","0,005550743898","0,007592562815","0,0003857604659","0,002506265664"
449 - Candoi,"0,001908360608","0,004717675591","0,005194427072","0,002743813708","0,007552937958","0,00004409183055","0,002506265664"
429 - Cantagalo,"0,0004823779528","0,001828462232","0,002900444826","0,003085694649","0,002917480135",0,"0,002506265664"
335 - Capanema,"0,001661446948","0,004053475533","0,004815143155","0,005070357344","0,002089911001","0,002541415346","0,002506265664"
411 - Capitao Leonidas Marques,"0,002342705159","0,002688820667","0,00227178663","0,003061149351","0,001391222714","0,0004581722156","0,002506265664"
223 - Carambei,"0,0042651085","0,006772033979","0,003424000251","0,001364017294","0,00324573605","0,02118825628","0,002506265664"
503 - Carlopolis,"0,0007539907272","0,002747245725","0,002841691724","0,002358101877","0,002238404151","0,0005405341427","0,002506265664"
410 - Cascavel,"0,02276099307","0,02006741299","0,01054683471","0,007996507555","0,01044134986","0,0003350879457","0,002506265664"
202 - Castro,"0,007778797438","0,0167818316","0,01163180867","0,007754561042","0,01263862821","0,02368127953","0,002506265664"
408 - Catanduvas,"0,0007310778209","0,003908631791","0,003172667534","0,002945435802","0,002938093066",0,"0,002506265664"
618 - Centenario do Sul,"0,0005874274208","0,001746728787","0,001211619536","0,000929214866","0,001852912332","0,0000954840267","0,002506265664"
110 - Cerro Azul,"0,0004624202652","0,003517954183","0,007918612591","0,004186726604","0,006753986776","0,0001148364719","0,002506265664"
423 - Ceu Azul,"0,001467669878","0,004313563061","0,001726688401","0,001996935344","0,005883790902","0,01610692224","0,002506265664"
312 - Chopinzinho,"0,001621674768","0,00485985732","0,004681316644","0,006034636922","0,004796258693","0,00856675123","0,002506265664"
833 - Cianorte,"0,007179411048","0,006581094142","0,00501098683","0,005897884546","0,004056244482","0,00557563627","0,002506265664"
